Series Name,Series Code,Country Name,Country Code,2017 [YR2017]
GDP per capita (current US$),NY.GDP.PCAP.CD,Benin,BEN,1136.592847
GDP per capita (current US$),NY.GDP.PCAP.CD,Burundi,BDI,292.9976307
GDP per capita (current US$),NY.GDP.PCAP.CD,Burkina Faso,BFA,734.9944298
GDP per capita (current US$),NY.GDP.PCAP.CD,Cameroon,CMR,1425.107818
GDP per capita (current US$),NY.GDP.PCAP.CD,Central African Republic,CAF,450.900245
GDP per capita (current US$),NY.GDP.PCAP.CD,"Congo, Dem. Rep.",COD,467.0742375
GDP per capita (current US$),NY.GDP.PCAP.CD,Cote d'Ivoire,CIV,2111.027076
GDP per capita (current US$),NY.GDP.PCAP.CD,Chad,TCD,665.9483527
GDP per capita (current US$),NY.GDP.PCAP.CD,Eritrea,ERI,..
GDP per capita (current US$),NY.GDP.PCAP.CD,"Gambia, The",GMB,679.756914
GDP per capita (current US$),NY.GDP.PCAP.CD,Ghana,GHA,2025.932424
GDP per capita (current US$),NY.GDP.PCAP.CD,Guinea,GIN,855.5736399
GDP per capita (current US$),NY.GDP.PCAP.CD,Guinea-Bissau,GNB,738.5499449
GDP per capita (current US$),NY.GDP.PCAP.CD,Lesotho,LSO,1150.079174
GDP per capita (current US$),NY.GDP.PCAP.CD,Madagascar,MDG,515.2927249
GDP per capita (current US$),NY.GDP.PCAP.CD,Malaysia,MYS,10259.18178
GDP per capita (current US$),NY.GDP.PCAP.CD,Niger,NER,517.9750301
GDP per capita (current US$),NY.GDP.PCAP.CD,Papua New Guinea,PNG,2695.251883
GDP per capita (current US$),NY.GDP.PCAP.CD,Philippines,PHL,3123.234229
GDP per capita (current US$),NY.GDP.PCAP.CD,Sao Tome and Principe,STP,1813.783235
GDP per capita (current US$),NY.GDP.PCAP.CD,Sierra Leone,SLE,499.3807078
GDP per capita (current US$),NY.GDP.PCAP.CD,Solomon Islands,SLB,2332.814874
GDP per capita (current US$),NY.GDP.PCAP.CD,Somalia,SOM,..
GDP per capita (current US$),NY.GDP.PCAP.CD,South Sudan,SSD,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Zimbabwe,ZWE,1548.170056
GDP per capita (current US$),NY.GDP.PCAP.CD,World,WLD,10827.70326
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 12/16/2020,,,,
